EAN;Categoria;Marca;Modelo;Preço (€);"Diagonal do Ecrã ("")";Resolução;Frequência de Resposta (Hz);3D;Tempo de Resposta (ms);Contrast;Internet na TV;Conetividade Multidispositivos;Outros;Processador;Ligação Rede Wireless;Ligação Rede Ethernet;Nº de Entradas HDMI;Nº de Entradas USB;TDT;Entrada de PC;DLNA;Saída de Auscultadores;Entrada áudio;Altifalantes Integrados;Potência (W);Consumo em standby (W);Consumo de Energia (W);Consumo de Energia Anual (kWh);Eficiência Energética;Bloqueio para crianças;Temporizador On/Off;Picture-in-Picture;Cor;Ângulo de Visão ( ° );Tipo;Altura (cm);Largura (cm);Profundidade (cm)
8806086616232;Ultra HD/ 4K;Samsung;TV LED Smart TV 3D 48'' SAMSUNG UE48JU7500T;1399,00;48;Ultra HD;1600;Sim;2;Mega Contrast;Sim;Sim;NA;Quad Core;Integrada;Sim;4;3;Sim;Sim;Sim;Sim;Sim;Sim;400;0.3;92;115;A+;Sim;Sim;Sim;Preto;NA;LED;108;68;31
8806086719384;Ultra HD/ 4K;Samsung;TV LED Smart TV 60'' SAMSUNG UE60JU6400KXXC;1999,00;60;Ultra HD;900;Não;1;Mega Contrast;Sim;Sim;NA;Quad Core;Integrada;Sim;4;3;Sim;Sim;Não;Sim;Sim;Sim;20;NA;99;137;A+;Sim;Sim;Sim;Preto;NA;LED;76;124;27
5025232813148;Ultra HD/ 4K;Panasonic;TV LED PANASONIC Smart TV UHD 3D 48'' TX-48CX400;649,99;48;Ultra HD;200;Sim;NA;Dynamic Contrast;Sim;Media Player;HEVC Decoder;Quad Core;Integrada;Sim;4;3;Sim;Sim;Sim;Não;Não;Sim;NA;0.5;87;127;A;Não;Não;Não;Preto;176;LCD;NA;NA;NA
5025232812141;Ultra HD/ 4K;Panasonic;TV LED Smart TV 55'' PANASONIC TX-55CX680;1129,00;55;Ultra HD;200;Não;NA;Brilliant Contrast;Sim;TV ANYWHERE;GUIA VOZ 4K SWIPE&SHARE;Quad-Core PRO 4X;Integrada;Sim;3;3;Sim;Sim;Sim;Sim;Sim;Sim;20;0.5;130;NA;B;Não;Não;Não;Aço Escovado;176;LED;71.9;124.2;5.6
8806087139099;Ultra HD/ 4K;LG;TV LED Smart TV 43'' LG 43UF770V;599,99;43;Ultra HD;1000;Não;NA;Tru-Black Control;Sim;Miracast / Widi / WIFi Direct;Painel IPS 4K / webOS2.0;NA;Integrada;Sim;3;3;Sim;Não;Sim;Sim;Sim;Sim;20;0.3;68;99;A;Sim;Sim;Não;Preto;178;LED;63;97.1;21.6
8806087347234;Ultra HD/ 4K;LG;TV LED UHD Smart TV 49'' LG 49UF680V;649,99;49;Ultra HD;1000;Não;NA;Natural Color;Sim;Miracast / Widi / WIFi Direct;Painel IPS 4K;NA;Integrada;Sim;2;1;Sim;Não;Sim;Não;Sim;Sim;20;0.3;68;99;A+;Sim;Sim;Não;Preto;178;LED;70.1;110.4;23.7
4548736002227;Ultra HD/ 4K;Sony;"TV LED Smart TV 3D 4K 55"" SONY KD55X8508C";1299,00;55;Ultra HD;1000;Sim;NA;Advanced Contrast;Sim;Wi-Fi, Android TV, Google Cast;Clear Audio +;X-Reality Pro 4;Integrada;Não;4;3;Sim;Não;Não;Não;Sim;Sim;NA;0.5;NA;NA;A;Não;Sim;Não;Preto;NA;LED;72.2;123.6;6
4548736023277;Ultra HD/ 4K;Sony;LED UHD 4K Android TV 65'' SONY KD-65XD9305;3999,00;65;Ultra HD;1000;Sim;NA;NA;Sim;Não;Slim Backlight Drive;4K Processor X1;Integrada;Sim;4;3;Sim;Sim;Não;Sim;Sim;Sim;NA;0.5;167;232;B;Não;Sim;Não;Preto;178;LCD;83.9;145.8;3.6
8718863002346;Ultra HD/ 4K;Philips;"TV LED Smart TV 4K 50"" PHILIPS 50PUH6400/88";849,99;50;Ultra HD;700;Não;NA;Mega Contrast;Sim;Easylink;Android Spotify;Dual Core;Integrada;Sim;4;3;Sim;Sim;Sim;Sim;Sim;Sim;20;0.5;69;101;A+;Sim;Sim;Não;Preto;NA;LED;64.7;112.4;7.7
8718863003299;Ultra HD/ 4K;Philips;TV LED Smart TV 3D PHILIPS 49PUS7100;1199,00;124;Ultra HD;800;Sim;NA;Mega Contrast;Sim;Easylink;Ultra 4K;Dual Core;Integrada;Sim;4;3;Sim;Sim;Sim;Não;Sim;Sim;20;NA;NA;NA;A+;Não;Não;Não;Preto;NA;LED;NA;NA;NA
